85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 18:59:49"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  53.9900,  65.4006
 211697863.8492,  53.5696,  62.0329
 223395727.6984,  53.1529,  58.9503
 235093591.5477,  52.8102,  56.1420
 246791455.3969,  52.5198,  53.6855
 258489319.2461,  52.2381,  51.3636
 270187183.0953,  51.9654,  49.2292
 281885046.9446,  51.7191,  47.3802
 293582910.7938,  51.5208,  45.6517
 305280774.6430,  51.3048,  44.0962
 316978638.4922,  51.1611,  42.5939
 335518503.2732,  50.9037,  40.4645
 354058368.0542,  50.6849,  38.5509
 372598232.8351,  50.3404,  36.7693
 391138097.6161,  50.1988,  35.3553
 409677962.3971,  49.9971,  33.9852
 428217827.1780,  49.8008,  32.6646
 446757691.9590,  49.6453,  31.5253
 465297556.7400,  49.4871,  30.4413
 483837421.5209,  49.3414,  29.4528
 502377286.3019,  49.2475,  28.5479
 531760991.7824,  49.0319,  27.2295
 561144697.2629,  48.8240,  26.1249
 590528402.7434,  48.4978,  25.0854
 619912108.2239,  48.4444,  24.1648
 649295813.7045,  48.2773,  23.3484
 678679519.1850,  47.9764,  22.5345
 708063224.6655,  47.9207,  21.7686
 737446930.1460,  47.7969,  21.1219
 766830635.6265,  47.6248,  20.5237
 796214341.1070,  47.5109,  19.9490
 842784375.8923,  47.3743,  19.0172
 889354410.6777,  47.3219,  18.4375
 935924445.4630,  47.0224,  17.7471
 982494480.2484,  46.9422,  16.9343
1029064515.0337,  47.2987,  16.5983
1075634549.8190,  46.9438,  16.3995
1122204584.6044,  46.6257,  15.8660
1168774619.3897,  46.7141,  15.3411
1215344654.1750,  46.7077,  15.0940
1261914688.9604,  46.7409,  14.9130
1335723220.0643,  46.4525,  14.6166
1409531751.1683,  46.3827,  14.2954
1483340282.2723,  46.1536,  14.0745
1557148813.3762,  45.9139,  13.8567
1630957344.4802,  45.7270,  13.6101
1704765875.5842,  45.5049,  13.3919
1778574406.6881,  45.3443,  13.1841
1852382937.7921,  45.1965,  12.9745
1926191468.8960,  45.0502,  12.8499
2000000000.0000,  44.8978,  12.6677
2116978638.4922,  44.6431,  12.4042
2233957276.9844,  44.6037,  12.1811
2350935915.4767,  44.5507,  12.0960
2467914553.9689,  44.4776,  12.1295
2584893192.4611,  44.2541,  12.1782
2701871830.9533,  44.0662,  12.1842
2818850469.4456,  43.8804,  12.2157
2935829107.9378,  43.6344,  12.2378
3052807746.4300,  43.3700,  12.2351
3169786384.9222,  43.1895,  12.1643
3355185032.7319,  42.9543,  12.1542
3540583680.5416,  42.7661,  12.1713
3725982328.3513,  42.5998,  12.2932
3911380976.1610,  42.3493,  12.4445
4096779623.9707,  42.0872,  12.5817
4282178271.7804,  41.8333,  12.7125
4467576919.5901,  41.5451,  12.8084
4652975567.3998,  41.3358,  12.9025
4838374215.2095,  41.1349,  13.0343
5023772863.0192,  40.9091,  13.1984
5317609917.8242,  40.5373,  13.4718
5611446972.6293,  40.1393,  13.7142
5905284027.4344,  39.7764,  13.9590
6199121082.2395,  39.3753,  14.1999
6492958137.0446,  39.0259,  14.4442
6786795191.8496,  38.6078,  14.7090
7080632246.6547,  38.2445,  14.9247
7374469301.4598,  37.8382,  15.1607
7668306356.2649,  37.4662,  15.3805
7962143411.0699,  37.0658,  15.5925
8427843758.9233,  36.4533,  15.9099
8893544106.7767,  35.8753,  16.1957
9359244454.6301,  35.2807,  16.4927
9824944802.4835,  34.7189,  16.7678
10290645150.3369,  34.1379,  17.0394
10756345498.1903,  33.5812,  17.2789
11222045846.0437,  33.0111,  17.5056
11687746193.8971,  32.4514,  17.7143
12153446541.7505,  31.8804,  17.9098
12619146889.6039,  31.3456,  18.0776
13357232200.6435,  30.4903,  18.3386
14095317511.6831,  29.6723,  18.4945
14833402822.7227,  28.8702,  18.6536
15571488133.7623,  28.1049,  18.7536
16309573444.8019,  27.3827,  18.8566
17047658755.8416,  26.6634,  18.8713
17785744066.8812,  26.0110,  18.9399
18523829377.9208,  25.3469,  18.9362
19261914688.9604,  24.7470,  18.8962
20000000000.0000,  24.1563,  18.9047

