85070 Dielectric Probe Software E07.01.08
Agilent Technologies,E8362B,MY43021411,A.07.50.67
Title:,Title
Sub Title:,SubTitle
Date:,"Thursday, July 04, 2019 16:18:22"

frequency,Tr 1  Data(e'),(e'')
 200000000.0000,  79.7301, 150.7267
 211697863.8492,  79.3668, 141.6933
 223395727.6984,  79.1295, 133.7366
 235093591.5477,  78.8238, 126.6872
 246791455.3969,  78.6014, 120.3847
 258489319.2461,  78.3806, 114.7414
 270187183.0953,  78.2741, 109.5486
 281885046.9446,  78.1614, 104.8166
 293582910.7938,  78.0391, 100.4869
 305280774.6430,  77.9248,  96.5062
 316978638.4922,  77.7635,  92.8880
 335518503.2732,  77.6675,  87.6290
 354058368.0542,  77.5396,  82.9201
 372598232.8351,  77.3808,  78.9656
 391138097.6161,  77.2735,  75.0772
 409677962.3971,  77.0863,  71.7802
 428217827.1780,  77.0565,  68.7210
 446757691.9590,  76.9888,  65.9393
 465297556.7400,  76.8575,  63.3923
 483837421.5209,  76.8153,  61.1025
 502377286.3019,  76.7076,  58.9682
 531760991.7824,  76.4361,  55.7816
 561144697.2629,  76.2814,  53.0218
 590528402.7434,  76.2726,  50.5889
 619912108.2239,  76.2413,  48.4104
 649295813.7045,  76.2210,  46.4490
 678679519.1850,  75.9796,  44.5852
 708063224.6655,  75.9761,  42.9151
 737446930.1460,  75.8084,  41.3120
 766830635.6265,  75.6439,  39.9007
 796214341.1070,  75.4463,  38.3194
 842784375.8923,  76.3652,  36.2680
 889354410.6777,  75.9457,  34.9746
 935924445.4630,  76.2293,  33.0187
 982494480.2484,  76.5404,  32.6389
1029064515.0337,  76.1637,  31.7163
1075634549.8190,  75.8920,  30.5555
1122204584.6044,  76.0525,  29.5446
1168774619.3897,  75.9381,  28.9871
1215344654.1750,  75.8046,  28.2634
1261914688.9604,  75.6977,  27.5566
1335723220.0643,  75.5214,  26.6508
1409531751.1683,  75.3648,  25.8212
1483340282.2723,  75.1158,  24.9667
1557148813.3762,  75.0106,  24.2696
1630957344.4802,  74.9002,  23.6408
1704765875.5842,  74.7493,  22.9435
1778574406.6881,  74.9118,  22.3892
1852382937.7921,  74.9475,  21.9711
1926191468.8960,  75.0085,  21.7019
2000000000.0000,  75.0805,  21.4777
2116978638.4922,  75.0031,  21.3277
2233957276.9844,  74.7964,  21.2180
2350935915.4767,  74.4968,  21.0270
2467914553.9689,  74.1992,  20.7788
2584893192.4611,  74.0471,  20.5351
2701871830.9533,  73.9322,  20.3229
2818850469.4456,  73.9346,  20.1693
2935829107.9378,  73.9751,  20.1910
3052807746.4300,  73.8737,  20.3442
3169786384.9222,  73.6841,  20.4798
3355185032.7319,  73.3708,  20.6187
3540583680.5416,  73.0603,  20.7309
3725982328.3513,  72.8195,  20.8445
3911380976.1610,  72.6259,  21.0600
4096779623.9707,  72.3980,  21.3378
4282178271.7804,  72.1315,  21.6446
4467576919.5901,  71.8242,  21.9685
4652975567.3998,  71.5052,  22.2422
4838374215.2095,  71.2274,  22.5343
5023772863.0192,  70.9431,  22.8625
5317609917.8242,  70.4665,  23.4226
5611446972.6293,  69.9305,  23.9779
5905284027.4344,  69.4074,  24.5179
6199121082.2395,  68.8610,  25.0846
6492958137.0446,  68.2944,  25.6453
6786795191.8496,  67.7211,  26.2047
7080632246.6547,  67.1215,  26.7492
7374469301.4598,  66.5167,  27.2885
7668306356.2649,  65.8926,  27.8271
7962143411.0699,  65.2675,  28.3490
8427843758.9233,  64.2473,  29.1461
8893544106.7767,  63.2043,  29.8967
9359244454.6301,  62.1481,  30.6101
9824944802.4835,  61.0789,  31.2807
10290645150.3369,  59.9976,  31.9156
10756345498.1903,  58.9097,  32.5020
11222045846.0437,  57.8164,  33.0447
11687746193.8971,  56.7258,  33.5409
12153446541.7505,  55.6382,  34.0021
12619146889.6039,  54.5588,  34.4172
13357232200.6435,  52.8464,  34.9972
14095317511.6831,  51.1843,  35.4649
14833402822.7227,  49.5425,  35.8552
15571488133.7623,  47.9442,  36.1548
16309573444.8019,  46.3878,  36.3893
17047658755.8416,  44.8775,  36.5328
17785744066.8812,  43.4149,  36.6286
18523829377.9208,  41.9984,  36.6658
19261914688.9604,  40.6269,  36.6443
20000000000.0000,  39.2999,  36.5809

